filename,pytesseract_predicted_result,paddleocr_ocr_predicted_result
23cec47e-INSIDE4_2024-10-28-1413-INSIDE-4_crop_6.jpg,1,139
23cec47e-INSIDE4_2024-10-28-1413-INSIDE-4_crop_7.jpg,285,285
23cec47e-INSIDE4_2024-10-28-1413-INSIDE-4_crop_8.jpg,507,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_11.jpg,43,43
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_12.jpg,291,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_13.jpg,506,500
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_14.jpg,3,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_15.jpg,206,206
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_16.jpg,3,553
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_17.jpg,3,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_18.jpg,473,473
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_19.jpg,473,473
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_20.jpg,2,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_21.jpg,57,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_22.jpg,22,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_24.jpg,,
24a598cb-OUTSIDE8_2024-10-30-1354-OUTSIDE-8_2_crop_4.jpg,,
24e80926-OUTSIDE2_2024-10-08-1348-OUTSIDE-2_4_crop_2.jpg,476,176
24e80926-OUTSIDE2_2024-10-08-1348-OUTSIDE-2_4_crop_3.jpg,,
2646b252-OUTSIDE2_2024-10-02-1345-OUTSIDE-2_2_crop_2.jpg,06,06
2646b252-OUTSIDE2_2024-10-02-1345-OUTSIDE-2_2_crop_3.jpg,,
