pytesseract_predicted_result,paddleocr_ocr_predicted_result,trocr_predicted_result,filename
406,406,406,2024-09-02-1521-OUTSIDE-4 (3)_crop_8.jpg
04,01,501,2024-09-02-1521-OUTSIDE-4 (3)_crop_9.jpg
4903,,420,2024-09-04-1402-INSIDE-3 (2)_crop_3.jpg
420,420,420,2024-09-04-1402-INSIDE-3 (2)_crop_4.jpg
36,56,56,2024-09-04-1402-INSIDE-3 (2)_crop_5.jpg
560,560,560,2024-09-04-1402-INSIDE-3 (2)_crop_6.jpg
4129,420,420,2024-09-04-1402-INSIDE-3 (2)_crop_7.jpg
7,,162,2024-09-04-1402-INSIDE-3_crop_3.jpg
587,587,587,2024-09-04-1402-INSIDE-3_crop_4.jpg
2,,2,2024-09-04-1402-INSIDE-3_crop_5.jpg
587,587,587,2024-09-04-1402-INSIDE-3_crop_6.jpg
7,,172,2024-09-04-1402-INSIDE-3_crop_7.jpg
47,,162,2024-09-04-1402-INSIDE-3_crop_8.jpg
24,21,21,2024-09-04-1402-INSIDE-4 (2)_crop_10.jpg
,,24,2024-09-04-1402-INSIDE-4 (2)_crop_11.jpg
5,406,456,2024-09-04-1402-INSIDE-4 (2)_crop_4.jpg
21,21,21,2024-09-04-1402-INSIDE-4 (2)_crop_5.jpg
566,566,566,2024-09-04-1402-INSIDE-4 (2)_crop_6.jpg
,,46,2024-09-04-1402-INSIDE-4 (2)_crop_7.jpg
,560,566,2024-09-04-1402-INSIDE-4 (2)_crop_8.jpg
2,,264,2024-09-04-1402-INSIDE-4 (2)_crop_9.jpg
,,,2024-09-04-1402-INSIDE-4 (3)_crop_10.jpg
495122,122,122,2024-09-04-1402-INSIDE-4 (3)_crop_4.jpg
544,5444,544,2024-09-04-1402-INSIDE-4 (3)_crop_5.jpg
133,122,122,2024-09-04-1402-INSIDE-4 (3)_crop_6.jpg
34,354,354,2024-09-04-1402-INSIDE-4 (3)_crop_7.jpg
,,144,2024-09-04-1402-INSIDE-4 (3)_crop_8.jpg
177,33177,33177,2024-09-04-1402-INSIDE-4 (3)_crop_9.jpg
352,352,352,2024-09-04-1402-INSIDE-4_crop_10.jpg
607,501,501,2024-09-04-1402-INSIDE-4_crop_11.jpg
6015,5015,5015,2024-09-04-1402-INSIDE-4_crop_12.jpg
,,214,2024-09-04-1402-INSIDE-4_crop_4.jpg
501,,501,2024-09-04-1402-INSIDE-4_crop_5.jpg
52,,352,2024-09-04-1402-INSIDE-4_crop_6.jpg
434,234,224,2024-09-04-1402-INSIDE-4_crop_7.jpg
54,,541,2024-09-04-1402-INSIDE-4_crop_8.jpg
41,41,7,2024-09-04-1402-INSIDE-4_crop_9.jpg
44,44,44,2024-09-04-1402-INSIDE-6 (2)_crop_10.jpg
74,74,74,2024-09-04-1402-INSIDE-6 (2)_crop_12.jpg
143,143,143,2024-09-04-1402-INSIDE-6 (2)_crop_13.jpg
,,700,2024-09-04-1402-INSIDE-6 (2)_crop_14.jpg
6,546,1546,2024-09-04-1402-INSIDE-6 (2)_crop_15.jpg
,546,5461,2024-09-04-1402-INSIDE-6 (2)_crop_16.jpg
,,1,2024-09-04-1402-INSIDE-6 (2)_crop_17.jpg
,,5,2024-09-04-1402-INSIDE-6 (2)_crop_18.jpg
,,74,2024-09-04-1402-INSIDE-6 (2)_crop_19.jpg
,,,2024-09-04-1402-INSIDE-6 (2)_crop_20.jpg
,,44,2024-09-04-1402-INSIDE-6 (2)_crop_21.jpg
,700,,2024-09-04-1402-INSIDE-6 (2)_crop_22.jpg
16,156,1546,2024-09-04-1402-INSIDE-6 (2)_crop_23.jpg
443,143,143,2024-09-04-1402-INSIDE-6 (2)_crop_24.jpg
,,6,2024-09-04-1402-INSIDE-6 (2)_crop_25.jpg
,,6,2024-09-04-1402-INSIDE-6 (2)_crop_26.jpg
,,,2024-09-04-1402-INSIDE-6 (2)_crop_27.jpg
,,549,2024-09-04-1402-INSIDE-6 (2)_crop_28.jpg
,,44,2024-09-04-1402-INSIDE-6 (2)_crop_29.jpg
143,143,143,2024-09-04-1402-INSIDE-6 (2)_crop_6.jpg
700,700,700,2024-09-04-1402-INSIDE-6 (2)_crop_7.jpg
,,,2024-09-04-1402-INSIDE-6 (2)_crop_8.jpg
4,,44,2024-09-04-1402-INSIDE-6 (2)_crop_9.jpg
376,376,376,2024-09-04-1402-INSIDE-6_crop_10.jpg
,,405,2024-09-04-1402-INSIDE-6_crop_11.jpg
406,,406,2024-09-04-1402-INSIDE-6_crop_12.jpg
25,380,380,2024-09-04-1402-INSIDE-6_crop_13.jpg
5,,541,2024-09-04-1402-INSIDE-6_crop_14.jpg
408,406,406,2024-09-04-1402-INSIDE-6_crop_15.jpg
5,,65,2024-09-04-1402-INSIDE-6_crop_16.jpg
,,,2024-09-04-1402-INSIDE-6_crop_17.jpg
,,352,2024-09-04-1402-INSIDE-6_crop_18.jpg
4,71,171,2024-09-04-1402-INSIDE-6_crop_6.jpg
376,376,376,2024-09-04-1402-INSIDE-6_crop_7.jpg
380,380,380,2024-09-04-1402-INSIDE-6_crop_8.jpg
1,471,471,2024-09-04-1402-INSIDE-6_crop_9.jpg
,78,378,2024-09-04-1402-INSIDE-8 (2)_crop_10.jpg
46,,46,2024-09-04-1402-INSIDE-8 (2)_crop_11.jpg
03,03,03,2024-09-04-1402-INSIDE-8 (2)_crop_12.jpg
169,169,169,2024-09-04-1402-INSIDE-8 (2)_crop_13.jpg
524,,521,2024-09-04-1402-INSIDE-8 (2)_crop_14.jpg
,,56,2024-09-04-1402-INSIDE-8 (2)_crop_15.jpg
360,60,560,2024-09-04-1402-INSIDE-8 (2)_crop_16.jpg
2614,,361,2024-09-04-1402-INSIDE-8 (2)_crop_17.jpg
,196,196,2024-09-04-1402-INSIDE-8 (2)_crop_18.jpg
,,621,2024-09-04-1402-INSIDE-8 (2)_crop_19.jpg
5616,566,566,2024-09-04-1402-INSIDE-8 (2)_crop_8.jpg
1354,,354,2024-09-04-1402-INSIDE-8 (3)_crop_10.jpg
4,3301,300,2024-09-04-1402-INSIDE-8 (3)_crop_11.jpg
4510,,,2024-09-04-1402-INSIDE-8 (3)_crop_12.jpg
5144,544,544,2024-09-04-1402-INSIDE-8 (3)_crop_4.jpg
,,354,2024-09-04-1402-INSIDE-8 (3)_crop_6.jpg
,,100,2024-09-04-1402-INSIDE-8 (3)_crop_7.jpg
27,7,317,2024-09-04-1402-INSIDE-8 (3)_crop_8.jpg
354,,354,2024-09-04-1402-INSIDE-8 (3)_crop_9.jpg
376,376,376,2024-09-04-1402-INSIDE-8_crop_10.jpg
376,376,376,2024-09-04-1402-INSIDE-8_crop_11.jpg
380,380,380,2024-09-04-1402-INSIDE-8_crop_12.jpg
14,471,471,2024-09-04-1402-INSIDE-8_crop_13.jpg
330,380,380,2024-09-04-1402-INSIDE-8_crop_14.jpg
06,406,406,2024-09-04-1402-INSIDE-8_crop_15.jpg
357,5,352,2024-09-04-1402-INSIDE-8_crop_16.jpg
474,471,471,2024-09-04-1402-INSIDE-8_crop_17.jpg
5,,352,2024-09-04-1402-INSIDE-8_crop_18.jpg
41,1,41,2024-09-04-1402-INSIDE-8_crop_19.jpg
01,501,501,2024-09-04-1402-INSIDE-8_crop_20.jpg
224,234,224,2024-09-04-1402-INSIDE-8_crop_21.jpg
408,,406,2024-09-04-1402-INSIDE-8_crop_22.jpg
